商品名称,商品分类,商品品牌,cluster_kmeans,cluster_dbscan,cluster_hdbscan,tsne_x,tsne_y
阿迪达斯 男女款团队款实战篮球运动鞋adidas FRONT COURT ID8593,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,1,-1,4,-74.93688,-17.496107
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1376,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.3529,18.93571
「面包鞋」阿迪达斯官方三叶草 男女经典滑板鞋CAMPUS 00s ID6140,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯官方男款少年感复古篮球鞋运动板鞋adidas ENTRAP GW5499,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
阿迪达斯三叶草 男款舒适运动立领夹克外套adidas SPRT TT HE4689,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯三叶草 男款经典运动「奶包鞋2.0」NITEBALL II GZ3625,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
「泡泡鞋阿迪达斯三叶草 男女款经典运动鞋adidas HI-TAIL JH7362,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.02876,-43.291996
阿迪达斯官方三叶草男女经典运动复古老爹鞋adidas OZELIA ID1123,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.31792,-11.779099
阿迪达斯三叶草男款舒适运动短袖T恤adidas ADV MTN F TEE IC2361,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,0,-1,-1,37.356125,8.249333
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4086,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.06923,-10.6493435
「增嗨鞋」阿迪达斯三叶草男女款复古老爹鞋adidas HAIWEE ID0555,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.30102,-10.706674
「恐惧鲨鱼」阿迪达斯官方三叶草 男女经典老爹鞋PROPHERE IH2516,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.45905,-11.5179825
阿迪达斯官方三叶草 男女轻盈百搭经典运动老爹鞋OZMILLEN IF6893,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.471016,-10.191846
阿迪达斯三叶草 男女款运动仿羊羔绒夹克外套 adidas AU HY7233,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯官方三叶草男女新款经典运动板鞋adidas EXTABALL ID1130,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
阿迪达斯三叶草 男款宽松梭织运动立领夹克外套adidas BLD HC4511,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯官方三叶草男女款经典boost运动鞋adidas RETROPY IG3502,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.35276,-43.54156
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL IE6817,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.94585,-10.612341
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4070,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1378,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯三叶草 男女经典运动鞋复古老爹鞋 adidas OZELIA GW9381,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.71286,-11.109731
「街球鞋」阿迪达斯三叶草男女款经典运动鞋STREETBALL II JI2556,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4089,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.89744,-10.48609
「暗夜精灵」阿迪达斯三叶草 男女boost运动鞋NITE JOGGER GY0018,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-65.18059,-18.879118
阿迪达斯三叶草 男女情侣运动复古短袖T恤TREFOIL BLOOM T H32305,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,0,-1,-1,37.356125,8.249333
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1377,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯官方三叶草 男款运动圆领长袖卫衣套头衫 adidas HK7345,运动户外-运动服/休闲服装-运动卫衣/套头衫,adidas/阿迪达斯,0,-1,4,25.458956,2.6539114
阿迪达斯三叶草 男款运动600蓬保暖鸭绒羽绒服SPORTY DOWN HS9466,运动户外-运动服/休闲服装-运动羽绒服,adidas/阿迪达斯,0,-1,4,31.970999,5.311279
「增嗨鞋」阿迪达斯三叶草男运动复古老爹鞋adidas HAIWEE EG9571,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.03722,-10.643401
阿迪达斯三叶草男女款「冰蓝」休闲篮球鞋adidas EQT BASK FX3775,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,17.116957,0.16637042
阿迪达斯三叶草男款舒适百搭经典复古老爹鞋adidas OZELIA GX3268,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.726875,-11.047235
阿迪达斯三叶草 男女款休闲中帮篮球板鞋adidas DROP STEP IF2574,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-74.749596,-16.749874
「波波鞋」阿迪达斯官方 男女款厚底休闲运动老爹鞋OZWAVE ID3573,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.53852,-11.247805
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JI2835,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.17222,-10.736555
阿迪达斯官方男款轻运动宽松夹克外套adidas M FI 3BAR WB HF4852,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.34932,18.931448
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JR2703,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
「泡泡鞋」阿迪达斯三叶草 男女休闲跑步鞋adidas HI-TAIL ID0537,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.27777,-11.633854
