商品名称,商品分类,商品品牌,cluster_similarity
阿迪达斯三叶草 男款舒适运动立领夹克外套adidas SPRT TT HE4689,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草 男款经典运动「奶包鞋2.0」NITEBALL II GZ3625,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋阿迪达斯三叶草 男女款经典运动鞋adidas HI-TAIL JH7362,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女经典运动复古老爹鞋adidas OZELIA ID1123,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男款舒适运动短袖T恤adidas ADV MTN F TEE IC2361,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4086,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「增嗨鞋」阿迪达斯三叶草男女款复古老爹鞋adidas HAIWEE ID0555,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯官方三叶草 男女经典老爹鞋PROPHERE IH2516,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女轻盈百搭经典运动老爹鞋OZMILLEN IF6893,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款运动仿羊羔绒夹克外套 adidas AU HY7233,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯官方三叶草男女新款经典运动板鞋adidas EXTABALL ID1130,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男款宽松梭织运动立领夹克外套adidas BLD HC4511,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯官方三叶草男女款经典boost运动鞋adidas RETROPY IG3502,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL IE6817,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4070,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1378,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草 男女经典运动鞋复古老爹鞋 adidas OZELIA GW9381,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「街球鞋」阿迪达斯三叶草男女款经典运动鞋STREETBALL II JI2556,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4089,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「暗夜精灵」阿迪达斯三叶草 男女boost运动鞋NITE JOGGER GY0018,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女情侣运动复古短袖T恤TREFOIL BLOOM T H32305,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
阿迪达斯三叶草 男女加厚保暖仿羊羔绒夹克外套D11 SHERPA HY1377,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯官方三叶草 男款运动圆领长袖卫衣套头衫 adidas HK7345,运动户外-运动服/休闲服装-运动卫衣/套头衫,adidas/阿迪达斯,1
